Invoice ID,Date,Branch,City,Customer Type,Gender,Product,Category,Quantity,Unit Price,Sales,Payment,Cost,Profit
INV042,2026-03-31,C,Coimbatore,Member,Female,Coffee,Grocery,2,250,500,UPI,376.68,123.32
INV043,2026-01-30,A,Chennai,Member,Male,Table,Furniture,4,7000,28000,Cash,21558.09,6441.91
INV044,2026-02-05,B,Madurai,Normal,Female,Jacket,Fashion,3,3200,9600,Cash,8379.56,1220.44
INV045,2026-02-03,A,Chennai,Member,Male,Rice,Grocery,3,900,2700,Cash,1986.43,713.57
INV046,2026-03-07,C,Coimbatore,Member,Female,Bookshelf,Furniture,3,6000,18000,Cash,14171.02,3828.98
INV047,2026-03-10,A,Chennai,Member,Female,Shoes,Fashion,4,2500,10000,Card,7003.38,2996.62
INV048,2026-01-16,C,Coimbatore,Normal,Female,Headphones,Electronics,3,2500,7500,Cash,6245.08,1254.92
INV049,2026-01-25,B,Madurai,Normal,Female,Bookshelf,Furniture,3,6000,18000,Cash,14595.88,3404.12
INV050,2026-02-08,B,Madurai,Normal,Male,Shoes,Fashion,5,2500,12500,Card,10834.31,1665.69
INV051,2026-03-07,B,Madurai,Normal,Male,Coffee,Grocery,4,250,1000,Cash,835.13,164.87
INV052,2026-01-31,C,Coimbatore,Normal,Male,Headphones,Electronics,5,2500,12500,UPI,9587.97,2912.03
INV053,2026-03-20,A,Chennai,Member,Female,Shirt,Fashion,2,1200,2400,Card,2152.29,247.71
INV054,2026-03-25,B,Madurai,Member,Male,Jacket,Fashion,4,3200,12800,Card,9584.6,3215.4
INV055,2026-03-13,C,Coimbatore,Member,Male,Jeans,Fashion,5,1800,9000,Card,7136.19,1863.81
INV056,2026-03-18,C,Coimbatore,Normal,Female,Jacket,Fashion,5,3200,16000,Cash,14361.26,1638.74
INV057,2026-02-01,A,Chennai,Normal,Female,Sofa,Furniture,4,18000,72000,Cash,56881,15119
INV058,2026-01-31,B,Madurai,Normal,Female,Shoes,Fashion,1,2500,2500,Card,2106.77,393.23
INV059,2026-01-20,A,Chennai,Member,Male,Phone,Electronics,2,22000,44000,Card,34170.71,9829.29
INV060,2026-01-27,C,Coimbatore,Normal,Female,Bookshelf,Furniture,4,6000,24000,Cash,18795.72,5204.28
INV061,2026-02-08,B,Madurai,Normal,Female,Smart Watch,Electronics,1,4500,4500,Cash,3998.47,501.53
INV062,2026-01-04,A,Chennai,Normal,Female,Jacket,Fashion,3,3200,9600,Cash,7556.81,2043.19
INV063,2026-03-10,B,Madurai,Member,Female,Table,Furniture,2,7000,14000,Cash,12546.02,1453.98
INV064,2026-03-01,C,Coimbatore,Member,Male,Laptop,Electronics,4,55000,220000,Card,159970.78,60029.22
INV065,2026-02-18,A,Chennai,Normal,Female,Bookshelf,Furniture,4,6000,24000,Card,18368.86,5631.14
INV066,2026-02-14,A,Chennai,Member,Male,Smart Watch,Electronics,5,4500,22500,Cash,15984.39,6515.61
INV067,2026-03-21,A,Chennai,Member,Male,Laptop,Electronics,2,55000,110000,UPI,95463.03,14536.97
INV068,2026-02-02,C,Coimbatore,Normal,Male,Chair,Furniture,2,3500,7000,Cash,5551.05,1448.95
INV069,2026-02-09,B,Madurai,Normal,Female,Phone,Electronics,1,22000,22000,Cash,17946.21,4053.79
INV070,2026-02-08,C,Coimbatore,Member,Male,Shirt,Fashion,2,1200,2400,Card,1728.91,671.09
INV071,2026-01-02,A,Chennai,Normal,Female,Bookshelf,Furniture,5,6000,30000,UPI,24885.26,5114.74
INV072,2026-02-25,C,Coimbatore,Member,Female,Bookshelf,Furniture,4,6000,24000,Cash,20195.08,3804.92
INV073,2026-02-01,B,Madurai,Member,Female,Sofa,Furniture,5,18000,90000,Card,67831.12,22168.88
INV074,2026-02-13,C,Coimbatore,Member,Female,Jacket,Fashion,5,3200,16000,Card,13338.2,2661.8
INV075,2026-02-13,A,Chennai,Normal,Female,Jacket,Fashion,3,3200,9600,Cash,8251.84,1348.16
INV076,2026-03-04,A,Chennai,Member,Female,Phone,Electronics,2,22000,44000,Cash,37136.66,6863.34
INV077,2026-02-21,A,Chennai,Member,Female,Sofa,Furniture,1,18000,18000,Cash,13659.25,4340.75
INV078,2026-03-12,C,Coimbatore,Normal,Female,Coffee,Grocery,5,250,1250,Cash,960.94,289.06
INV079,2026-01-25,B,Madurai,Normal,Male,Bookshelf,Furniture,3,6000,18000,Cash,13429.94,4570.06
INV080,2026-03-17,A,Chennai,Normal,Male,Jeans,Fashion,4,1800,7200,UPI,5438.16,1761.84
INV081,2026-03-10,B,Madurai,Member,Female,Cooking Oil,Grocery,2,180,360,UPI,273.76,86.24
INV082,2026-03-04,C,Coimbatore,Member,Male,Headphones,Electronics,2,2500,5000,Cash,4137.87,862.13
INV083,2026-01-07,B,Madurai,Normal,Female,Coffee,Grocery,4,250,1000,UPI,768.14,231.86
INV084,2026-03-29,B,Madurai,Member,Male,Smart Watch,Electronics,1,4500,4500,UPI,3669.32,830.68
INV085,2026-02-23,A,Chennai,Member,Female,Rice,Grocery,1,900,900,Card,730.45,169.55
INV086,2026-03-21,C,Coimbatore,Member,Male,Bookshelf,Furniture,4,6000,24000,UPI,18265.83,5734.17
INV087,2026-01-23,C,Coimbatore,Member,Male,Shoes,Fashion,1,2500,2500,UPI,1828.53,671.47
INV088,2026-01-05,C,Coimbatore,Member,Female,Sofa,Furniture,5,18000,90000,Cash,71458.42,18541.58
INV089,2026-03-22,A,Chennai,Member,Female,Coffee,Grocery,2,250,500,UPI,442.39,57.61
INV090,2026-01-22,B,Madurai,Normal,Female,Jeans,Fashion,2,1800,3600,Card,2571.42,1028.58
INV091,2026-02-04,C,Coimbatore,Normal,Female,Smart Watch,Electronics,3,4500,13500,UPI,11339.28,2160.72
INV092,2026-01-04,C,Coimbatore,Member,Male,Smart Watch,Electronics,3,4500,13500,Cash,11080.03,2419.97
INV093,2026-01-23,C,Coimbatore,Normal,Female,Headphones,Electronics,1,2500,2500,Card,2131.55,368.45
INV094,2026-03-02,C,Coimbatore,Normal,Female,Jacket,Fashion,4,3200,12800,Card,11440.78,1359.22
INV095,2026-03-05,A,Chennai,Normal,Female,Rice,Grocery,3,900,2700,Cash,2112.29,587.71
INV096,2026-01-15,A,Chennai,Normal,Male,Smart Watch,Electronics,3,4500,13500,Cash,10131.48,3368.52
INV097,2026-03-21,A,Chennai,Normal,Female,Sofa,Furniture,2,18000,36000,UPI,28932.76,7067.24
INV098,2026-02-26,C,Coimbatore,Normal,Male,Shoes,Fashion,2,2500,5000,UPI,4427.67,572.33
INV099,2026-02-22,B,Madurai,Member,Male,Jeans,Fashion,5,1800,9000,UPI,6324.61,2675.39
INV100,2026-02-07,C,Coimbatore,Normal,Female,Chair,Furniture,2,3500,7000,Card,5597.73,1402.27
